"GEO_ID","county","tract","Description","sum_row"
"26003000300","Alger","000300","15 to 17 years ",83
"26003000300","Alger","000300","18 and 19 years ",5
"26003000300","Alger","000300","20 to 24 years ",290
"26003000300","Alger","000300","25 to 29 years ",305
"26003000300","Alger","000300","30 to 34 years ",204
"26003000300","Alger","000300","35 to 44 years ",329
"26003000300","Alger","000300","45 to 54 years ",328
"26003000300","Alger","000300","5 to 9 years ",46
"26003000300","Alger","000300","55 to 64 years ",529
"26003000300","Alger","000300","65 to 74 years ",420
"26003000300","Alger","000300","75 to 84 years ",161
"26003000300","Alger","000300","85 years and over ",72
"26003000300","Alger","000300","Under 5 years ",70
"26003990000","Alger","990000","10 to 14 years ",0
"26003990000","Alger","990000","15 to 17 years ",0
"26003990000","Alger","990000","18 and 19 years ",0
"26003990000","Alger","990000","20 to 24 years ",0
"26003990000","Alger","990000","25 to 29 years ",0
"26003990000","Alger","990000","30 to 34 years ",0
"26003990000","Alger","990000","35 to 44 years ",0
"26003990000","Alger","990000","45 to 54 years ",0
"26003990000","Alger","990000","5 to 9 years ",0
"26003990000","Alger","990000","55 to 64 years ",0
"26003990000","Alger","990000","65 to 74 years ",0
"26003990000","Alger","990000","75 to 84 years ",0
"26003990000","Alger","990000","85 years and over ",0
"26003990000","Alger","990000","Under 5 years ",0
"26005030200","Allegan","030200","10 to 14 years ",235
"26005030200","Allegan","030200","15 to 17 years ",136
"26005030200","Allegan","030200","18 and 19 years ",53
"26005030200","Allegan","030200","20 to 24 years ",133
"26005030200","Allegan","030200","25 to 29 years ",87
"26005030200","Allegan","030200","30 to 34 years ",208
"26005030200","Allegan","030200","35 to 44 years ",262
"26005030200","Allegan","030200","45 to 54 years ",443
"26005030200","Allegan","030200","5 to 9 years ",91
"26005030200","Allegan","030200","55 to 64 years ",739
"26005030200","Allegan","030200","65 to 74 years ",497
"26005030200","Allegan","030200","75 to 84 years ",155
"26005030200","Allegan","030200","85 years and over ",29
"26005030200","Allegan","030200","Under 5 years ",272
"26005030300","Allegan","030300","10 to 14 years ",607
"26005030300","Allegan","030300","15 to 17 years ",350
"26005030300","Allegan","030300","18 and 19 years ",197
"26005030300","Allegan","030300","20 to 24 years ",281
"26005030300","Allegan","030300","25 to 29 years ",434
"26005030300","Allegan","030300","30 to 34 years ",580
"26005030300","Allegan","030300","35 to 44 years ",1162
"26005030300","Allegan","030300","45 to 54 years ",1006
"26005030300","Allegan","030300","5 to 9 years ",711
"26005030300","Allegan","030300","55 to 64 years ",1045
"26005030300","Allegan","030300","65 to 74 years ",629
"26005030300","Allegan","030300","75 to 84 years ",269
"26005030300","Allegan","030300","85 years and over ",42
"26005030300","Allegan","030300","Under 5 years ",483
"26005030401","Allegan","030401","10 to 14 years ",627
"26005030401","Allegan","030401","15 to 17 years ",296
"26005030401","Allegan","030401","18 and 19 years ",256
"26005030401","Allegan","030401","20 to 24 years ",424
"26005030401","Allegan","030401","25 to 29 years ",502
"26005030401","Allegan","030401","30 to 34 years ",520
"26005030401","Allegan","030401","35 to 44 years ",879
"26005030401","Allegan","030401","45 to 54 years ",1094
"26005030401","Allegan","030401","5 to 9 years ",518
"26005030401","Allegan","030401","55 to 64 years ",1191
"26005030401","Allegan","030401","65 to 74 years ",511
"26005030401","Allegan","030401","75 to 84 years ",268
"26005030401","Allegan","030401","85 years and over ",91
"26005030401","Allegan","030401","Under 5 years ",587
"26005030402","Allegan","030402","10 to 14 years ",481
"26005030402","Allegan","030402","15 to 17 years ",251
"26005030402","Allegan","030402","18 and 19 years ",155
"26005030402","Allegan","030402","20 to 24 years ",291
"26005030402","Allegan","030402","25 to 29 years ",406
"26005030402","Allegan","030402","30 to 34 years ",351
"26005030402","Allegan","030402","35 to 44 years ",707
"26005030402","Allegan","030402","45 to 54 years ",927
"26005030402","Allegan","030402","5 to 9 years ",469
"26005030402","Allegan","030402","55 to 64 years ",457
"26005030402","Allegan","030402","65 to 74 years ",377
"26005030402","Allegan","030402","75 to 84 years ",99
"26005030402","Allegan","030402","85 years and over ",18
"26005030402","Allegan","030402","Under 5 years ",381
"26005030500","Allegan","030500","10 to 14 years ",346
"26005030500","Allegan","030500","15 to 17 years ",312
"26005030500","Allegan","030500","18 and 19 years ",135
"26005030500","Allegan","030500","20 to 24 years ",345
"26005030500","Allegan","030500","25 to 29 years ",627
"26005030500","Allegan","030500","30 to 34 years ",667
"26005030500","Allegan","030500","35 to 44 years ",932
"26005030500","Allegan","030500","45 to 54 years ",1013
"26005030500","Allegan","030500","5 to 9 years ",599
"26005030500","Allegan","030500","55 to 64 years ",894
"26005030500","Allegan","030500","65 to 74 years ",784
"26005030500","Allegan","030500","75 to 84 years ",267
"26005030500","Allegan","030500","85 years and over ",115
"26005030500","Allegan","030500","Under 5 years ",814
"26005030600","Allegan","030600","10 to 14 years ",498
"26005030600","Allegan","030600","15 to 17 years ",286
"26005030600","Allegan","030600","18 and 19 years ",100
"26005030600","Allegan","030600","20 to 24 years ",345
"26005030600","Allegan","030600","25 to 29 years ",370
"26005030600","Allegan","030600","30 to 34 years ",357
"26005030600","Allegan","030600","35 to 44 years ",601
"26005030600","Allegan","030600","45 to 54 years ",706
"26005030600","Allegan","030600","5 to 9 years ",342
"26005030600","Allegan","030600","55 to 64 years ",708
"26005030600","Allegan","030600","65 to 74 years ",416
"26005030600","Allegan","030600","75 to 84 years ",237
"26005030600","Allegan","030600","85 years and over ",50
"26005030600","Allegan","030600","Under 5 years ",322
"26005030702","Allegan","030702","10 to 14 years ",318
"26005030702","Allegan","030702","15 to 17 years ",222
"26005030702","Allegan","030702","18 and 19 years ",168
"26005030702","Allegan","030702","20 to 24 years ",278
"26005030702","Allegan","030702","25 to 29 years ",220
"26005030702","Allegan","030702","30 to 34 years ",339
"26005030702","Allegan","030702","35 to 44 years ",462
"26005030702","Allegan","030702","45 to 54 years ",780
"26005030702","Allegan","030702","5 to 9 years ",290
"26005030702","Allegan","030702","55 to 64 years ",754
"26005030702","Allegan","030702","65 to 74 years ",498
"26005030702","Allegan","030702","75 to 84 years ",151
"26005030702","Allegan","030702","85 years and over ",38
"26005030702","Allegan","030702","Under 5 years ",332
"26005030703","Allegan","030703","10 to 14 years ",199
"26005030703","Allegan","030703","15 to 17 years ",160
"26005030703","Allegan","030703","18 and 19 years ",85
"26005030703","Allegan","030703","20 to 24 years ",189
"26005030703","Allegan","030703","25 to 29 years ",198
"26005030703","Allegan","030703","30 to 34 years ",170
"26005030703","Allegan","030703","35 to 44 years ",267
"26005030703","Allegan","030703","45 to 54 years ",408
"26005030703","Allegan","030703","5 to 9 years ",190
"26005030703","Allegan","030703","55 to 64 years ",465
"26005030703","Allegan","030703","65 to 74 years ",252
"26005030703","Allegan","030703","75 to 84 years ",77
"26005030703","Allegan","030703","85 years and over ",16
"26005030703","Allegan","030703","Under 5 years ",138
"26005030704","Allegan","030704","10 to 14 years ",456
"26005030704","Allegan","030704","15 to 17 years ",256
"26005030704","Allegan","030704","18 and 19 years ",98
"26005030704","Allegan","030704","20 to 24 years ",282
"26005030704","Allegan","030704","25 to 29 years ",213
"26005030704","Allegan","030704","30 to 34 years ",381
"26005030704","Allegan","030704","35 to 44 years ",666
"26005030704","Allegan","030704","45 to 54 years ",793
"26005030704","Allegan","030704","5 to 9 years ",399
"26005030704","Allegan","030704","55 to 64 years ",547
"26005030704","Allegan","030704","65 to 74 years ",446
"26005030704","Allegan","030704","75 to 84 years ",129
"26005030704","Allegan","030704","85 years and over ",20
"26005030704","Allegan","030704","Under 5 years ",330
"26005030800","Allegan","030800","10 to 14 years ",324
"26005030800","Allegan","030800","15 to 17 years ",105
"26005030800","Allegan","030800","18 and 19 years ",37
"26005030800","Allegan","030800","20 to 24 years ",236
"26005030800","Allegan","030800","25 to 29 years ",114
"26005030800","Allegan","030800","30 to 34 years ",195
"26005030800","Allegan","030800","35 to 44 years ",430
"26005030800","Allegan","030800","45 to 54 years ",774
"26005030800","Allegan","030800","5 to 9 years ",275
"26005030800","Allegan","030800","55 to 64 years ",1094
"26005030800","Allegan","030800","65 to 74 years ",915
"26005030800","Allegan","030800","75 to 84 years ",330
"26005030800","Allegan","030800","85 years and over ",63
"26005030800","Allegan","030800","Under 5 years ",150
"26005030901","Allegan","030901","10 to 14 years ",202
"26005030901","Allegan","030901","15 to 17 years ",134
"26005030901","Allegan","030901","18 and 19 years ",13
"26005030901","Allegan","030901","20 to 24 years ",125
"26005030901","Allegan","030901","25 to 29 years ",263
"26005030901","Allegan","030901","30 to 34 years ",61
"26005030901","Allegan","030901","35 to 44 years ",372
"26005030901","Allegan","030901","45 to 54 years ",403
"26005030901","Allegan","030901","5 to 9 years ",160
"26005030901","Allegan","030901","55 to 64 years ",552
"26005030901","Allegan","030901","65 to 74 years ",540
"26005030901","Allegan","030901","75 to 84 years ",190
"26005030901","Allegan","030901","85 years and over ",39
"26005030901","Allegan","030901","Under 5 years ",122
"26005030902","Allegan","030902","10 to 14 years ",118
"26005030902","Allegan","030902","15 to 17 years ",93
"26005030902","Allegan","030902","18 and 19 years ",68
"26005030902","Allegan","030902","20 to 24 years ",105
"26005030902","Allegan","030902","25 to 29 years ",114
"26005030902","Allegan","030902","30 to 34 years ",116
"26005030902","Allegan","030902","35 to 44 years ",292
"26005030902","Allegan","030902","45 to 54 years ",350
"26005030902","Allegan","030902","5 to 9 years ",70
"26005030902","Allegan","030902","55 to 64 years ",463
"26005030902","Allegan","030902","65 to 74 years ",435
"26005030902","Allegan","030902","75 to 84 years ",164
"26005030902","Allegan","030902","85 years and over ",53
"26005030902","Allegan","030902","Under 5 years ",30
"26005031000","Allegan","031000","10 to 14 years ",447
"26005031000","Allegan","031000","15 to 17 years ",436
"26005031000","Allegan","031000","18 and 19 years ",85
"26005031000","Allegan","031000","20 to 24 years ",482
"26005031000","Allegan","031000","25 to 29 years ",284
"26005031000","Allegan","031000","30 to 34 years ",324
"26005031000","Allegan","031000","35 to 44 years ",904
"26005031000","Allegan","031000","45 to 54 years ",801
"26005031000","Allegan","031000","5 to 9 years ",513
"26005031000","Allegan","031000","55 to 64 years ",698
"26005031000","Allegan","031000","65 to 74 years ",622
"26005031000","Allegan","031000","75 to 84 years ",188
"26005031000","Allegan","031000","85 years and over ",23
"26005031000","Allegan","031000","Under 5 years ",482
"26005031100","Allegan","031100","10 to 14 years ",354
"26005031100","Allegan","031100","15 to 17 years ",186
"26005031100","Allegan","031100","18 and 19 years ",143
"26005031100","Allegan","031100","20 to 24 years ",311
"26005031100","Allegan","031100","25 to 29 years ",329
"26005031100","Allegan","031100","30 to 34 years ",320
"26005031100","Allegan","031100","35 to 44 years ",853
"26005031100","Allegan","031100","45 to 54 years ",955
"26005031100","Allegan","031100","5 to 9 years ",313
"26005031100","Allegan","031100","55 to 64 years ",1064
"26005031100","Allegan","031100","65 to 74 years ",745
"26005031100","Allegan","031100","75 to 84 years ",442
"26005031100","Allegan","031100","85 years and over ",284
"26005031100","Allegan","031100","Under 5 years ",394
"26005031200","Allegan","031200","10 to 14 years ",321
"26005031200","Allegan","031200","15 to 17 years ",199
"26005031200","Allegan","031200","18 and 19 years ",154
"26005031200","Allegan","031200","20 to 24 years ",703
"26005031200","Allegan","031200","25 to 29 years ",298
"26005031200","Allegan","031200","30 to 34 years ",530
"26005031200","Allegan","031200","35 to 44 years ",506
"26005031200","Allegan","031200","45 to 54 years ",630
"26005031200","Allegan","031200","5 to 9 years ",594
"26005031200","Allegan","031200","55 to 64 years ",591
"26005031200","Allegan","031200","65 to 74 years ",377
"26005031200","Allegan","031200","75 to 84 years ",201
"26005031200","Allegan","031200","85 years and over ",91
"26005031200","Allegan","031200","Under 5 years ",292
"26005031300","Allegan","031300","10 to 14 years ",316
"26005031300","Allegan","031300","15 to 17 years ",263
"26005031300","Allegan","031300","18 and 19 years ",59
"26005031300","Allegan","031300","20 to 24 years ",320
"26005031300","Allegan","031300","25 to 29 years ",241
"26005031300","Allegan","031300","30 to 34 years ",271
"26005031300","Allegan","031300","35 to 44 years ",604
"26005031300","Allegan","031300","45 to 54 years ",671
"26005031300","Allegan","031300","5 to 9 years ",277
"26005031300","Allegan","031300","55 to 64 years ",845
"26005031300","Allegan","031300","65 to 74 years ",437
"26005031300","Allegan","031300","75 to 84 years ",250
"26005031300","Allegan","031300","85 years and over ",75
"26005031300","Allegan","031300","Under 5 years ",257
"26005031800","Allegan","031800","10 to 14 years ",448
"26005031800","Allegan","031800","15 to 17 years ",140
"26005031800","Allegan","031800","18 and 19 years ",187
"26005031800","Allegan","031800","20 to 24 years ",197
"26005031800","Allegan","031800","25 to 29 years ",305
"26005031800","Allegan","031800","30 to 34 years ",100
"26005031800","Allegan","031800","35 to 44 years ",754
"26005031800","Allegan","031800","45 to 54 years ",525
"26005031800","Allegan","031800","5 to 9 years ",217
"26005031800","Allegan","031800","55 to 64 years ",804
"26005031800","Allegan","031800","65 to 74 years ",463
"26005031800","Allegan","031800","75 to 84 years ",208
"26005031800","Allegan","031800","85 years and over ",100
"26005031800","Allegan","031800","Under 5 years ",243
"26005031900","Allegan","031900","10 to 14 years ",315
"26005031900","Allegan","031900","15 to 17 years ",265
"26005031900","Allegan","031900","18 and 19 years ",218
"26005031900","Allegan","031900","20 to 24 years ",299
"26005031900","Allegan","031900","25 to 29 years ",241
"26005031900","Allegan","031900","30 to 34 years ",429
"26005031900","Allegan","031900","35 to 44 years ",519
"26005031900","Allegan","031900","45 to 54 years ",870
"26005031900","Allegan","031900","5 to 9 years ",347
"26005031900","Allegan","031900","55 to 64 years ",561
"26005031900","Allegan","031900","65 to 74 years ",364
"26005031900","Allegan","031900","75 to 84 years ",344
"26005031900","Allegan","031900","85 years and over ",90
"26005031900","Allegan","031900","Under 5 years ",290
"26005032000","Allegan","032000","10 to 14 years ",469
"26005032000","Allegan","032000","15 to 17 years ",111
"26005032000","Allegan","032000","18 and 19 years ",54
"26005032000","Allegan","032000","20 to 24 years ",225
"26005032000","Allegan","032000","25 to 29 years ",399
"26005032000","Allegan","032000","30 to 34 years ",233
"26005032000","Allegan","032000","35 to 44 years ",618
"26005032000","Allegan","032000","45 to 54 years ",535
"26005032000","Allegan","032000","5 to 9 years ",404
"26005032000","Allegan","032000","55 to 64 years ",841
"26005032000","Allegan","032000","65 to 74 years ",541
"26005032000","Allegan","032000","75 to 84 years ",225
"26005032000","Allegan","032000","85 years and over ",100
"26005032000","Allegan","032000","Under 5 years ",291
"26005032100","Allegan","032100","10 to 14 years ",382
"26005032100","Allegan","032100","15 to 17 years ",213
"26005032100","Allegan","032100","18 and 19 years ",65
"26005032100","Allegan","032100","20 to 24 years ",182
"26005032100","Allegan","032100","25 to 29 years ",279
"26005032100","Allegan","032100","30 to 34 years ",238
"26005032100","Allegan","032100","35 to 44 years ",618
"26005032100","Allegan","032100","45 to 54 years ",591
"26005032100","Allegan","032100","5 to 9 years ",335
"26005032100","Allegan","032100","55 to 64 years ",797
"26005032100","Allegan","032100","65 to 74 years ",455
"26005032100","Allegan","032100","75 to 84 years ",290
"26005032100","Allegan","032100","85 years and over ",44
"26005032100","Allegan","032100","Under 5 years ",235
"26005032200","Allegan","032200","10 to 14 years ",281
"26005032200","Allegan","032200","15 to 17 years ",405
"26005032200","Allegan","032200","18 and 19 years ",84
"26005032200","Allegan","032200","20 to 24 years ",246
"26005032200","Allegan","032200","25 to 29 years ",314
"26005032200","Allegan","032200","30 to 34 years ",232
"26005032200","Allegan","032200","35 to 44 years ",525
"26005032200","Allegan","032200","45 to 54 years ",639
"26005032200","Allegan","032200","5 to 9 years ",241
"26005032200","Allegan","032200","55 to 64 years ",647
"26005032200","Allegan","032200","65 to 74 years ",437
"26005032200","Allegan","032200","75 to 84 years ",486
"26005032200","Allegan","032200","85 years and over ",270
"26005032200","Allegan","032200","Under 5 years ",337
"26005032401","Allegan","032401","10 to 14 years ",131
"26005032401","Allegan","032401","15 to 17 years ",45
"26005032401","Allegan","032401","18 and 19 years ",40
"26005032401","Allegan","032401","20 to 24 years ",136
"26005032401","Allegan","032401","25 to 29 years ",145
"26005032401","Allegan","032401","30 to 34 years ",195
"26005032401","Allegan","032401","35 to 44 years ",158
"26005032401","Allegan","032401","45 to 54 years ",114
"26005032401","Allegan","032401","5 to 9 years ",126
"26005032401","Allegan","032401","55 to 64 years ",181
"26005032401","Allegan","032401","65 to 74 years ",80
"26005032401","Allegan","032401","75 to 84 years ",66
"26005032401","Allegan","032401","85 years and over ",10
"26005032401","Allegan","032401","Under 5 years ",165
"26005032402","Allegan","032402","10 to 14 years ",313
"26005032402","Allegan","032402","15 to 17 years ",188
"26005032402","Allegan","032402","18 and 19 years ",60
"26005032402","Allegan","032402","20 to 24 years ",291
"26005032402","Allegan","032402","25 to 29 years ",217
"26005032402","Allegan","032402","30 to 34 years ",187
"26005032402","Allegan","032402","35 to 44 years ",575
"26005032402","Allegan","032402","45 to 54 years ",583
"26005032402","Allegan","032402","5 to 9 years ",259
"26005032402","Allegan","032402","55 to 64 years ",607
"26005032402","Allegan","032402","65 to 74 years ",411
"26005032402","Allegan","032402","75 to 84 years ",174
"26005032402","Allegan","032402","85 years and over ",34
"26005032402","Allegan","032402","Under 5 years ",175
"26005032600","Allegan","032600","10 to 14 years ",51
"26005032600","Allegan","032600","15 to 17 years ",0
"26005032600","Allegan","032600","18 and 19 years ",0
"26005032600","Allegan","032600","20 to 24 years ",161
"26005032600","Allegan","032600","25 to 29 years ",104
"26005032600","Allegan","032600","30 to 34 years ",91
"26005032600","Allegan","032600","35 to 44 years ",109
"26005032600","Allegan","032600","45 to 54 years ",156
"26005032600","Allegan","032600","5 to 9 years ",63
"26005032600","Allegan","032600","55 to 64 years ",225
"26005032600","Allegan","032600","65 to 74 years ",175
"26005032600","Allegan","032600","75 to 84 years ",212
"26005032600","Allegan","032600","85 years and over ",118
"26005032600","Allegan","032600","Under 5 years ",73
"26005990000","Allegan","990000","10 to 14 years ",0
"26005990000","Allegan","990000","15 to 17 years ",0
"26005990000","Allegan","990000","18 and 19 years ",0
"26005990000","Allegan","990000","20 to 24 years ",0
"26005990000","Allegan","990000","25 to 29 years ",0
"26005990000","Allegan","990000","30 to 34 years ",0
"26005990000","Allegan","990000","35 to 44 years ",0
"26005990000","Allegan","990000","45 to 54 years ",0
"26005990000","Allegan","990000","5 to 9 years ",0
"26005990000","Allegan","990000","55 to 64 years ",0
"26005990000","Allegan","990000","65 to 74 years ",0
"26005990000","Allegan","990000","75 to 84 years ",0
"26005990000","Allegan","990000","85 years and over ",0
"26005990000","Allegan","990000","Under 5 years ",0
"26007000100","Alpena","000100","10 to 14 years ",186
"26007000100","Alpena","000100","15 to 17 years ",201
"26007000100","Alpena","000100","18 and 19 years ",81
"26007000100","Alpena","000100","20 to 24 years ",229
"26007000100","Alpena","000100","25 to 29 years ",228
"26007000100","Alpena","000100","30 to 34 years ",182
"26007000100","Alpena","000100","35 to 44 years ",435
"26007000100","Alpena","000100","45 to 54 years ",646
"26007000100","Alpena","000100","5 to 9 years ",237
"26007000100","Alpena","000100","55 to 64 years ",830
"26007000100","Alpena","000100","65 to 74 years ",677
"26007000100","Alpena","000100","75 to 84 years ",345
"26007000100","Alpena","000100","85 years and over ",73
"26007000100","Alpena","000100","Under 5 years ",297
"26007000200","Alpena","000200","10 to 14 years ",250
"26007000200","Alpena","000200","15 to 17 years ",170
"26007000200","Alpena","000200","18 and 19 years ",91
"26007000200","Alpena","000200","20 to 24 years ",172
"26007000200","Alpena","000200","25 to 29 years ",180
"26007000200","Alpena","000200","30 to 34 years ",139
"26007000200","Alpena","000200","35 to 44 years ",437
"26007000200","Alpena","000200","45 to 54 years ",528
"26007000200","Alpena","000200","5 to 9 years ",128
"26007000200","Alpena","000200","55 to 64 years ",783
"26007000200","Alpena","000200","65 to 74 years ",521
"26007000200","Alpena","000200","75 to 84 years ",247
"26007000200","Alpena","000200","85 years and over ",94
"26007000200","Alpena","000200","Under 5 years ",177
"26007000300","Alpena","000300","10 to 14 years ",168
"26007000300","Alpena","000300","15 to 17 years ",137
"26007000300","Alpena","000300","18 and 19 years ",56
"26007000300","Alpena","000300","20 to 24 years ",185
"26007000300","Alpena","000300","25 to 29 years ",160
"26007000300","Alpena","000300","30 to 34 years ",235
"26007000300","Alpena","000300","35 to 44 years ",316
"26007000300","Alpena","000300","45 to 54 years ",534
"26007000300","Alpena","000300","5 to 9 years ",249
"26007000300","Alpena","000300","55 to 64 years ",641
"26007000300","Alpena","000300","65 to 74 years ",376
"26007000300","Alpena","000300","75 to 84 years ",197
"26007000300","Alpena","000300","85 years and over ",54
"26007000300","Alpena","000300","Under 5 years ",106
"26007000400","Alpena","000400","10 to 14 years ",219
"26007000400","Alpena","000400","15 to 17 years ",84
"26007000400","Alpena","000400","18 and 19 years ",69
"26007000400","Alpena","000400","20 to 24 years ",304
"26007000400","Alpena","000400","25 to 29 years ",240
"26007000400","Alpena","000400","30 to 34 years ",147
"26007000400","Alpena","000400","35 to 44 years ",457
"26007000400","Alpena","000400","45 to 54 years ",360
"26007000400","Alpena","000400","5 to 9 years ",100
"26007000400","Alpena","000400","55 to 64 years ",399
"26007000400","Alpena","000400","65 to 74 years ",227
"26007000400","Alpena","000400","75 to 84 years ",25
"26007000400","Alpena","000400","85 years and over ",108
"26007000400","Alpena","000400","Under 5 years ",173
"26007000500","Alpena","000500","10 to 14 years ",125
"26007000500","Alpena","000500","15 to 17 years ",56
"26007000500","Alpena","000500","18 and 19 years ",46
"26007000500","Alpena","000500","20 to 24 years ",85
