AL	01
MT	30
AK	02
NE	31
AZ	04
NV	32
AR	05
NH	33
CA	06
NJ	34
CO	08
NM	35
CT	09
NY	36
DE	10
NC	37
DC	11
ND	38
FL	12
OH	39
GA	13
OK	40
HI	15
OR	41
ID	16
PA	42
IL	17
RI	44
IN	18
SC	45
IA	19
SD	46
KS	20
TN	47
KY	21
TX	48
LA	22
UT	49
ME	23
VT	50
MD	24
VA	51
MA	25
WA	53
MI	26
WV	54
MN	27
WI	55
MS	28
WY	56
MO	29
